Color
#c5bef9
#bdb4ff
#b7adff
#b4aaf9
#ada2ff
#d16aff
#bb44f0
#9614d0
#660094
#310047
#ff6f4b
#fd4c55
#e13661
#c1246b
#a11477
#ffdeeb
#f8bde4
#fca2f8
#e67df7
#ba73ea
#ff0188
#ff009e
#ff54b6
#ff80c9
#ffcdea
#dd306b
#ff3b7c
#ff738d
#ff9398
#ffb8b8
#ab3286
#72006a
#f7e6e4
#e7aeb9
#d88297
#7200cd
#7f62eb
#9999ff
#9966ff
#9900ff
#cb4b38
#b43426
#a42f21
#931e0f
#711406
#ff5750
#ef1910
#d50202
#a30000
#e3dac9
#ebe4d6
#f4eee1
#faf4e7
#fffcf5
#e9e1d4
#eee9df
#f4f0e9
#f9f8f4
#ffe8f1
#eabfd0
#e2fcff
#ffc2d7
#e7bbff
#f2baba
#df9696
#bb6e6e
#9f4d4d
#ffc3f3
#ffb8f1
#ffa1ed
#fceef7
#f6d5eb
#f2a5d8
#add8e6
#6bcae2
#00b7eb
#1338be
#dcf3ff
#a2d2df
#a2c1e5
