Color
#232f42
#28301c
#292c10
#2a431a
#2e444b
#384719
#394b44
#3c5b22
#3d3220
#412614
#415d5b
#470d1d
#47330e
#490919
#491619
#497229
#4b3623
#4e0326
#545f45
#555e17
#56784c
#574624
#58797e
#594513
#594833
#5f7522
#62010d
#629251
#63012e
#630832
#630b0e
#6b3422
#6e191e
#702520
#724910
#724b2e
#725a19
#725c33
#729631
#729a7c
#757e1d
#770638
#770810
#7d7131
#7e6b1a
#7f8e23
#7f9970
#809e29
#8e073f
#8e5c15
#8f786e
#910a0f
#925c40
#94783b
#952e1c
#954820
#959922
#95aa28
#961a18
#967944
#983039
#991d30
#9a4746
#9b7432
#9bb140
#9d6c15
#9e9640
#a3b02a
#a47b11
#af1826
#b02222
#b1222a
#b32430
#b47f16
#b82e27
#b9242c
#ba2b32
#ba2e35
#bb3343
#bb9334
#bd242d
#c24129
#c28f10
#c46d27
#c7142a
#c72f2c
#c7333d
#c7811d
#c84d2f
#ca252f
#ca424a
#ca5b2b
#cd4c51
#cf413b
#d05959
#d3a211
#d59812
#d7343f
#d7412d
#d93229
#d98e10
#de6b27
#e54937
#e64a47
#e6592c
#ea4326
#ea4d28
#eb5c43
#ec7f22
#ee732d
#f06a29
#f55c2f
