Color
#061c12
#081e15
#0c2f1f
#0d1b0f
#0e1e10
#0f241b
#0f241c
#0f3122
#0f3222
#101e12
#101f12
#112013
#112113
#11261d
#11261e
#121611
#122114
#12271f
#123425
#132215
#132820
#142316
#142921
#152417
#152921
#152b22
#162518
#162b22
#162c23
#171b16
#172b24
#181c17
#181d17
#181f00
#182d25
#18392a
#183a2a
#191d18
#19261b
#192d25
#19392b
#1a2100
#1a291c
#1a2f26
#1a3b2c
#1b1f1a
#1b281d
#1b2f27
#1b3b2d
#1b3c2d
#1c2a1e
#1c2b1e
#1c2d03
#1c3c2d
#1d1f0a
#1d201c
#1d211c
#1d2b1f
#1d3129
#1d3d2f
#1e221d
#1e2c20
#1e2f05
#1e3e2f
#1e3e30
#1f231e
#1f2b21
#1f2d21
#1f3007
#1f332b
#1f3f30
#1f3f31
#20220e
#202702
#202d21
#202d22
#202e22
#204031
#212520
#212904
#212f23
#213023
#213209
#21342c
#21352d
#214032
#22240f
#222620
#222621
#222908
#222b06
#222f24
#22352e
#22362e
#224133
#224134
#232722
#232b0a
#232d11
#233024
#233025
#233125
#23362e
#23372f
#234234
#242b0b
#242e12
#242f13
#243126
#243226
#243335
#243730
#243830
#244335
#244435
#252924
#252e12
#252f13
#253014
#253227
#253327
#262713
#262813
#262814
#262a25
#262c0c
#262d0d
#263115
#263402
#263428
#264537
#264637
#272915
#272b26
#272d0d
#273014
#273710
#273a32
#282c27
#282e0e
#283638
#283b33
#283b34
#284739
#292b17
#292d28
#292f0f
#293706
#293912
#293a12
#293c34
#29483a
#2a2d15
#2a2d18
#2a2e29
#2a3010
#2a3011
#2a3112
#2a320e
#2a3a13
#2a483a
#2a493b
#2b2d18
#2b2d19
#2b2f2a
#2b320f
#2b3213
#2b361a
#2b372c
#2b3b14
#2b3e3d
#2b493b
#2b4a3c
#2c2e1a
#2c2f1a
#2c302b
#2c3213
#2c3310
#2c3411
#2c3c15
#2c3c16
#2c4a3c
#2d3018
#2d312c
#2d3411
#2d3415
#2d371c
#2d392e
#2d3b3d
#2d403f
#2d4b3d
#2e2e08
#2e301c
#2e301d
#2e3119
#2e321a
#2e322d
#2e3513
#2e3613
#2e381d
#2e3c3e
#2e3d17
#2e3e16
#2e3e17
#2e3e18
#2e4140
#2e4345
#2f331b
#2f332e
#2f3517
#2f3617
#2f391e
#2f4140
#2f4447
#2f4d3f
#30300a
#30300b
#30321e
#30321f
#30341c
#303715
#303816
#30391e
#303a1f
#303c31
#303e40
#303f19
